geometry,amenity,name,operator,operator:wikidata,landuse,military,operator:short,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,website,addr:suburb,check_date,wheelchair,note,phone,police,seasonal,information,tourism,name:pt,addr:country,addr:state,short_name,entrance,email,fax,level,nohousenumber,source,start_date,operator:en,operator:pt,operator:wikipedia,description,alt_name,building,layer,building:levels,height,contact:phone,contact:website,barrier,roof:colour,roof:shape,office,inscription,min_height,addr:place,smoking,name:en,disused:government,disused:office,old_name,ele,fixme,payment:account_cards,payment:american_express,payment:amex,payment:cards,payment:cheque,payment:coins,payment:credit_cards,payment:debit_cards,payment:diners_club,payment:discover_card,payment:dkv,payment:electronic_purses,payment:girocard,payment:maestro,payment:mastercard,payment:notes,payment:pikepass,payment:uta,payment:visa,payment:visa_debit,payment:visa_electron,wikidata,wikipedia,operator:wikimedia_commons,payment:cash,payment:contactless,payment:cryptocurrencies,access,leisure,wikimedia_commons,area,operator:type,addr:district,lit,surface,type,official_name,loc_name
POINT (-46.688931 -23.7345824),police,Posto da Polícia Militar,27º BPM/M 1ª Cia,,,,,São Paulo,,04841-010,Praça Jose Belo Rezende,,,,,,Local sem número,55 11 5792-0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7153928 -23.698861),fire_station,Corpo de Bombeiros,Corpo de Bombeiros Militar do Estado de São Paulo,Q10260738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5677243 -23.549943),police,30º Distrito Policial,Polícia Civil do Estado de São Paulo,Q10350993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6429504 -23.4601187),fire_station,Posto de Bombeiros Horto Florestal,Corpo de Bombeiros Militar do Estado de São Paulo,Q10260738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7350159 -23.4480591),police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7346833 -23.447754),police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.766332 -23.4548813),police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7088495 -23.5672801),police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4863317 -23.5321027),police,Policia Militar,,,,,,São Paulo,,,Praça Aramã,,,Artur Alvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5681496 -23.5175678),police,Policia Militar,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4519583 -23.5343891),police,32° Delegacia de Policia,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,64,08210-790,Rua Sabbado D'Angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7042287 -23.7379997),police,27º BPM/M 1ª Cia,Polícia Militar do Estado de São Paulo,Q10351025,,,PMESP,São Paulo,23,04835-280,Rua Giorgio Alione,,https://www.policiamilitar.sp.gov.br/,,,no,,+55 11 5972-5664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5961296 -23.6417446),police,Garagem Policia Militar,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,São Paulo,471,,Rua Francisco Bautista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6058092 -23.5454428),police,34º Batalhão de Policia Militar,,,,,,São Paulo,,,Rua Do Hipodromo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7437387 -23.665958),police,Base Comunitária GCM,Guarda Civil Metropolitana do Município de São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7598884 -23.69296),police,100º DP,Polícia Civil do Estado de São Paulo,Q10350993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7370022 -23.6529542),police,Polícia Militar,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4414038 -23.4967358),police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6215791 -23.5975297),police,Guarda Civil Metropolitana - IR - Ipiranga,Guarda Civil Metropolitana,Q111137534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6441956 -23.5434597),courthouse,Justiça Federal Central de Conciliação,,,,,,São Paulo,299,01045-001,Praça da República,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4282184 -23.5228266),police,Polícia Militar - 2ª Cia. do 48º BPM/M,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6945779 -23.6801253),courthouse,Fórum Trabalhista - Zona Sul,,,,,,São Paulo,22833,,Avenida Nações Unidas,,,Vila Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6938739 -23.6794495),courthouse,Fórum Regional II - Santo Amaro,,,,,,São Paulo,22939,,Avenida Nações Unidas,,,Vila Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6604377 -23.5582087),police,Posto Policial,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,2163,,Avenida Paulista,,,,,,,,checkpoint,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6579879 -23.5594802),courthouse,Tribunal Regional Federal 3a Região,,,,,,São Paulo,1842,01310-200,Avenida Paulista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4796689 -23.5702543),police,Posto Policial,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4697514 -23.5678841),police,Posto Policial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6464534 -23.5498351),police,Guarda Civil Metropolitana,,,,,,,,,,,,,2024-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5318087 -23.5472993),police,Guarda Civil Metropolitana,,,,,,,,,Praça Haroldo Daltro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7174737 -23.7672391),police,PAT Parelheiros,,,,,,São Paulo,,04864-001,Avenida Senador Teotônio Vilela,,,Balneário São José,,,,59252736,,,office,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5853367 -23.557914),fire_station,Corpo de Bombeiros,,,,,,,99,03181-070,Rua Doutor João Inácio Teixeira,,http://www.ccb.polmil.sp.gov.br,,,,,,,,,,Corpo de Bombeiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5788438 -23.5574036),police,,,,,,,São Paulo,774,03181-010,Rua Major Basílio,24/7,,,,,,,,,,,,BR,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6087284 -23.5909235),police,17º Distrito Policial,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,534,,Rua Dom Luiz de Lasanha,,,Ipiranga,,,,+55 11 2061-2062,,,,,17º Distrito Policial,,,17º DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.476493 -23.517448),police,Polícia Militar - 39º BPM/M,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,São Paulo,3311,,Avenida Águia de Haia,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5485866 -23.5243407),police,,,,,,,São Paulo,,,,24/7,,Penha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6059152 -23.5300232),police,Patio da SpTrans,,,,,,,,,Rua Joaquim Carlos,,,,,,,,,,,,Patio da SpTrans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6921847 -23.4910455),courthouse,Fórum da Freguesia do Ó,,,,,,,101,,Rua Tomás Ramos Jordão,Mo-Sa 12:30-18:00,,,,,,,,,,,Fórum da Freguesia do Ó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5892337 -23.5287969),police,Base Vila Maria,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4998277 -23.4805688),police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6618038 -23.5550693),police,Corregedoria da Policia Civil,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,2333,01301-100,Rua da Consolação,,,,2025-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6567955 -23.5589635),courthouse,Justiça Federal,,,,,,São Paulo,25,01410-001,Alameda Ministro Rocha Azevedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6547939 -23.56317),courthouse,Juizado Especial Federal,,,,,,São Paulo,1345,01311-200,Avenida Paulista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6597278 -23.6737286),police,80º Dp Vila Joaniza,Polícia Civil do Estado de São Paulo,Q10350993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6315598 -23.5480208),police,1ª Delegacia de Defesa de Mulher,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,200,01017-010,Rua Doutor Bettencourt Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6753614 -23.5980828),fire_station,4º Grupamento De Bombeiros Posto Vila Olimpia,Corpo de Bombeiros Militar do Estado de São Paulo,Q10260738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6348601 -23.5383963),police,Edifício Palácio da Polícia Civil,,,,,,São Paulo,527,01032-001,Rua Brigadeiro Tobias,,,,,yes,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6358476 -23.5382641),police,Instituto de Indentificação Ricardo Gumbleton Daunt,,,,,,São Paulo,370,01033-000,Avenida Cásper Líbero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6363742 -23.5408309),courthouse,Poder Judiciário - Justiça Militar da União - 2ª Circunscrição Judiciária Militar,Poder Judiciário,Q3621649,,,,São Paulo,88,01033-000,Avenida Cásper Líbero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6299588 -23.5160597),police,Base Comunitária de Segurança,Policia Militar,,,,,São Paulo,109,01101-000,Avenida Santos Dumont,24/7,https://www.policiamilitar.sp.gov.br/institucional/policiamento-comunitario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.650265 -23.5463326),courthouse,Tribunal de Justiça Militar,,,,,,São Paulo,285,01222-020,Rua Doutor Vila Nova,Mo-Fr 11:00-19:00,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6748416 -23.5819762),police,2ª CIA do 23º BPM/M,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.640874 -23.6265279),police,Polícia Militar - Base Comunitária São Judas,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4012052 -23.6053055),police,54º DP,Polícia Civil do Estado de São Paulo,Q10350993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6158546 -23.5625996),fire_station,Corpo de Bombeiros - Primeiro Grupamento Cambuci,Corpo de Bombeiros Militar do Estado de São Paulo,Q10260738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6477235 -23.5483373),courthouse,Forum Desembragador Aricê Moacir Amaral Santos,Jutisça Federal,,,,,São Paulo,215,01303-030,Rua João Guimarães Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6643454 -23.5074075),police,Guarda Civil Metropolitana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7033337 -23.5202685),fire_station,Bombeiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7034197 -23.5204073),courthouse,Fórum Regional da Lapa,,,,,,,,,Rua Martim Tenório,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7036318 -23.520677),courthouse,Fórum Regional da Lapa,,,,,,,120,05074-050,,Mo-Fr 12:30-19:00,https://www.tjsp.jus.br/,,,,,,,,,,Fórum Regional da Lapa - TJSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7021337 -23.7298228),police,27º Batalhão de Polícia Militar Metropolitano,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,São Paulo,,04830-220,Rua Lampadosa,24:00 Horas,https://www.policiamilitar.sp.gov.br/,Jardim Presidente,,yes,,+55 11 5972-6061,,,,,,,,,,27bpmm@policiamilitar.sp.gov.br,+55 11 5972-6061,0,yes,survey;local knowledge;gps;aerial imagery;streetlevel imagery,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4425265 -23.6160533),police,Polícia Militar - 38º BPM/M,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,Avenida Jacu-Pêssego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4894236 -23.4900434),police,Polícia Comunitária,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6248317 -23.516286),police,Base Comunitária de Segurança,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,,24/7,https://www.policiamilitar.sp.gov.br/institucional/policiamento-comunitario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6596519 -23.6762467),police,4ª CIA do 22° BPM/M,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5943344 -23.6456361),police,Polícia Militar,Polícia Militar do Estado de São Paulo,Q10351025,military,police,PMESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.674951 -23.6151454),police,27° DP - Campo Belo,Polícia Civil do Estado de São Paulo,Q10350993,,,,São Paulo,407,04614-012,Rua Demóstenes,24/7,,Campo Belo,2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
